"","Sample","singlet","doublet","doublet_percentage","total_cell","Pair_sample","Platform","Site"
"1","S1_D1_cell",8208,721,8.07481240900437,8929,"S1_D1","Sc","S1"
"2","S1_D1_Nuclei",8081,1174,12.6850351161534,9255,"S1_D1","Sn","S1"
"3","S1_D2_cell",7315,548,6.96935012081903,7863,"S1_D2","Sc","S1"
"4","S1_D2_Nuclei",7360,1053,12.5163437537145,8413,"S1_D2","Sn","S1"
"5","S1_D3_cell",7850,510,6.10047846889952,8360,"S1_D3","Sc","S1"
"6","S1_D3_Nuclei",5218,631,10.7881689177637,5849,"S1_D3","Sn","S1"
"7","S2_D1_cell",12610,1598,11.2471846846847,14208,"S2_D1","Sc","S2"
"8","S2_D1_Nuclei",6308,978,13.4230030194894,7286,"S2_D1","Sn","S2"
"9","S2_D4_cell",7177,498,6.4885993485342,7675,"S2_D4","Sc","S2"
"10","S2_D4_Nuclei",9971,1205,10.7820329277022,11176,"S2_D4","Sn","S2"
"11","S2_D5_cell",13590,2072,13.2294726088622,15662,"S2_D5","Sc","S2"
"12","S2_D5_Nuclei",7646,1287,14.407254002015,8933,"S2_D5","Sn","S2"
"13","S3_D6_cell",13983,2186,13.5196981878904,16169,"S3_D6","Sc","S3"
"14","S3_D6_Nuclei",2707,203,6.97594501718213,2910,"S3_D6","Sn","S3"
"15","S3_D7_cell",14828,2373,13.7957095517702,17201,"S3_D7","Sc","S3"
"16","S3_D7_Nuclei",2803,238,7.82637290365011,3041,"S3_D7","Sn","S3"
"17","S4_D1_cell",6306,730,10.3752131893121,7036,"S4_D1","Sc","S4"
"18","S4_D1_Nuclei",13368,1310,8.92492165145115,14678,"S4_D1","Sn","S4"
"19","S4_D8_cell",4761,458,8.77562751484959,5219,"S4_D8","Sc","S4"
"20","S4_D8_Nuclei",12708,2189,14.6942337383366,14897,"S4_D8","Sn","S4"
"21","S4_D9_cell",8783,1338,13.2200375456971,10121,"S4_D9","Sc","S4"
"22","S4_D9_Nuclei",5926,783,11.670889849456,6709,"S4_D9","Sn","S4"
